Aaoar1	Aaosphaeria	arxii	Aaosphaeria arxii
Gymch1	Gymnopilus	chrysopellus	Gymnopilus chrysopellus
Gymci1	Gymnascella	citrina	Gymnascella citrina
Gymear1	Gymnopus	earleae	Gymnopus earleae
Gymlu1	Gymnopus	luxurians	Gymnopus luxurians
Gyrli1	Gyrodon	lividus	Gyrodon lividus
Halrad1	Halteromyces	radiatus	Halteromyces radiatus
Hanpo2	Hansenula	polymorpha	Hansenula polymorpha
Hanva1	Hanseniaspora	valbyensis	Hanseniaspora valbyensis
Hebcy2	Hebeloma	cylindrosporum	Hebeloma cylindrosporum
Helpul1	Helicostylum	pulchrum	Helicostylum pulchrum
Herpot1	Herpotrichia	sp.	Herpotrichia sp.
Hesve2finisherSC	Hesseltinella	vesiculosa	Hesseltinella vesiculosa
Hetan2	Heterobasidion	annosum	Heterobasidion annosum
Hetpy1	Heterogastridium	pycnidioideum	Heterogastridium pycnidioideum
Hexnit1	Hexagonia	nitida	Hexagonia nitida
Hompol1	Homolaphlyctis	polyrhiza	Homolaphlyctis polyrhiza
Horwer1	Hortaea	werneckii	Hortaea werneckii
Hyacur1	Hyaloraphidium	curvatum	Hyaloraphidium curvatum
Hydpi2	Hydnomerulius	pinastri	Hydnomerulius pinastri
Hygaur1	Hygrophoropsis	aurantiaca	Hygrophoropsis aurantiaca
Hymvar1	Hymenoscyphus	varicosporoides	Hymenoscyphus varicosporoides
Hypbu1	Hyphopichia	burtonii	Hyphopichia burtonii
HypCI4A	Hypoxylon	sp.	Hypoxylon sp.
HypCO275	Hypoxylon	sp.	Hypoxylon sp.
HypEC38	Hypoxylon	sp.	Hypoxylon sp.
Hypsu1	Hypholoma	sublateritium	Hypholoma sublateritium
Ilyeu1	Ilyonectria	europaea	Ilyonectria europaea
Ilyrob1	Ilyonectria	robusta	Ilyonectria robusta
Ilysp1	Ilyonectria	sp.	Ilyonectria sp.
Irplac1	Irpex	lacteus	Irpex lacteus
Jaaar1	Jaapia	argillacea	Jaapia argillacea
Karrh1	Karstenula	rhodostoma	Karstenula rhodostoma
Kicala1	Kickxella	alabastrina	Kickxella alabastrina
Kircor1	Kirkomyces	cordense	Kirkomyces cordense
Kocim1	Kockovaella	imperatae	Kockovaella imperatae
Kurca1	Kuraishia	capsulata	Kuraishia capsulata
Lacam2	Laccaria	amethystina	Laccaria amethystina
Lacbi2	Laccaria	bicolor	Laccaria bicolor
Lacpsa1	Lactarius	psammicola	Lactarius psammicola
Lacsub1	Lactifluus	cf.	Lactifluus cf.
Lacvol1	Lactifluus	cf.	Lactifluus cf.
Laesu1	Laetiporus	sulphureus	Laetiporus sulphureus
Lashi1	Lasiosphaeris	hispida	Lasiosphaeris hispida
Lashir1	Lasiosphaeris	hirsuta	Lasiosphaeris hirsuta
Lasmin1	Lasiosphaeria	miniovina	Lasiosphaeria miniovina
Lasov1	Lasiosphaeria	ovina	Lasiosphaeria ovina
Laxbic1	Laxitextum	bicolor	Laxitextum bicolor
LecAK0013	Lecythophora	sp.	Lecythophora sp.
Lenafn1	Lentinula	afn.	Lentinula afn.
Lenedo1	Lentinula	edodes	Lentinula edodes
Lenfl1	Lentithecium	fluviatile	Lentithecium fluviatile
Lenlat1	Lentinula	lateritia	Lentinula lateritia
Lenrap1	Lentinula	raphanica	Lentinula raphanica
Lenti6	Lentinus	tigrinus	Lentinus tigrinus
Lenti7	Lentinus	tigrinus	Lentinus tigrinus
Lentinedodes1	Lentinula	edodes	Lentinula edodes
Lepor2	Leptodontidium	orchidicola	Leptodontidium orchidicola
Leppa1	Lepidopterella	palustris	Lepidopterella palustris
Leucr1	Leucosporidiella	creatinivora	Leucosporidiella creatinivora
Leumo1	Leucogyrophana	mollusca	Leucogyrophana mollusca
Liccor1	Lichtheimia	corymbifera	Lichtheimia corymbifera
Lichy1	Lichtheimia	hyalospora	Lichtheimia hyalospora
Linpe1	Linderina	pennispora	Linderina pennispora
Linth1	Lindra	thalassiae	Lindra thalassiae
Lipst1	Lipomyces	starkeyi	Lipomyces starkeyi
Lobpul1	Lobaria	pulmonaria	Lobaria pulmonaria
LobpulAf1	Lobaria	pulmonaria	Lobaria pulmonaria
LobpulSc1	Lobaria	pulmonaria	Lobaria pulmonaria
LobpulSp1	Lobaria	pulmonaria	Lobaria pulmonaria
LobpulSw1	Lobaria	pulmonaria	Lobaria pulmonaria
Lobtra1	Lobosporangium	transversale	Lobosporangium transversale
Lodelo1	Lodderomyces	elongisporus	Lodderomyces elongisporus
Lopma1	Lophiostoma	macrostomum	Lophiostoma macrostomum
Lopmy1	Lophium	mytilinum	Lophium mytilinum
Lopnit1	Lophodermium	nitens	Lophodermium nitens
Lopnu1	Lophiotrema	nucula	Lophiotrema nucula
Lycper1	Lycoperdon	perlatum	Lycoperdon perlatum
Macan1	Macroventuria	anomochaeta	Macroventuria anomochaeta
Macfu1	Macrolepiota	fuliginosa	Macrolepiota fuliginosa
Macpha1	Macrophomina	phaseolina	Macrophomina phaseolina
Malgl1	Malassezia	globosa	Malassezia globosa
MarPMI226	Mariannaea	sp.	Mariannaea sp.
Marpt1	Martensiomyces	pterosporus	Martensiomyces pterosporus
Masph1	Massariosphaeria	phaeospora	Massariosphaeria phaeospora
Melbi2	Meliniomyces	bicolor	Meliniomyces bicolor
Melpu1	Melanomma	pulvis-pyrius	Melanomma pulvis-pyrius
Melsp1	Melanconium	sp.	Melanconium sp.
Meltu1	Melanops	tulasnei	Melanops tulasnei
Melva1	Meliniomyces	variabilis	Meliniomyces variabilis
Metbi1	Metschnikowia	bicuspidata	Metschnikowia bicuspidata
Metbi	Metschnikowia	bicuspidata	Metschnikowia bicuspidata
Metfru2	Metschnikowia	fructicola	Metschnikowia fructicola
Metro1	Metarhizium	robertsii	Metarhizium robertsii
Meygui1	Meyerozyma	guilliermondii	Meyerozyma guilliermondii
Micbo1	Microdochium	bolleyi	Microdochium bolleyi
Micld1	Microbotryum	lychnidis-dioicae	Microbotryum lychnidis-dioicae
Mictri1	Microdochium	trichocladiopsis	Microdochium trichocladiopsis
Mixos1	Mixia	osmundae	Mixia osmundae
Moeaph1	Moesziomyces	aphidis	Moesziomyces aphidis
Monili2	Moniliella	sp	Moniliella sp
Monpu1	Monascus	purpureus	Monascus purpureus
Monru1	Monascus	ruber	Monascus ruber
Morco1	Morchella	importuna	Morchella importuna
Morel2	Mortierella	elongata	Mortierella elongata
Morel	Morchella	importuna	Morchella importuna
Mormul1	Mortierella	multidivaricata	Mortierella multidivaricata
Morsny1	Morchella	snyderi	Morchella snyderi
Morve1	Mortierella	verticillata	Mortierella verticillata
Mucci2	Mucor	circinelloides	Mucor circinelloides
Muloch1	Multifurca	ochricompacta	Multifurca ochricompacta
Myc59	Mycena	sp	Mycena sp
Mycafr1	Mycotypha	africana	Mycotypha africana
Mycalb1	Mycena	albidolilacea	Mycena albidolilacea
Mycale1	Mycena	alexandri	Mycena alexandri
Mycami1	Mycena	amicta	Mycena amicta
Mycbel1	Mycena	belliae	Mycena belliae
Myccro1	Mycena	crocata	Mycena crocata
Mycepi1	Mycena	epipterygia	Mycena epipterygia
Mycfi2	Mycosphaerella	fijiensis	Mycosphaerella fijiensis
Mycfil1	Mycena	filopes	Mycena filopes
Mycflo1	Mycena	floridula	Mycena floridula
Mycgal1	Mycena	galopus	Mycena galopus
Mycgr3	Mycosphaerella	graminicola	Mycosphaerella graminicola
Mychae1	Mycena	haematopus	Mycena haematopus
Mychet1	Myceliophthora	heterothallica	Myceliophthora heterothallica
Mycreb1	Mycena	rebaudengi	Mycena rebaudengi
Mycros1	Mycena	rosella	Mycena rosella
Mycrub1	Mycena	capillaripes	Mycena capillaripes
Mycsan1	Mycena	sanguinolenta	Mycena sanguinolenta
Mycvit1	Mycena	vitilis	Mycena vitilis
Myrdu1	Myriangium	duriaei	Myriangium duriaei
Myxme1	Myxozyma	melibiosi	Myxozyma melibiosi
